user,first_social_sign,number_of_swaps,swaps_category,swapped_before_social,number_stake_actions,current_stake_raw,current_stake,stake_category,staked_before_social,defi_category
dirham.near,2022-12-15 00:00:00.000,15,11-50 SWAPS,YES,10,-0.2269110018,0.0,NO STAKE,YES,DEFI MASTER
ninomix1.near,2022-11-14 00:00:00.000,4,1-10 SWAPS,NO,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
bitkhabar1.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,0.03,0.03,0-100 STAKED,YES,ONLY STAKED
towanda.near,2023-01-30 00:00:00.000,21,11-50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
legendking1.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,-0.0007054112673,0.0,NO STAKE,YES,ONLY STAKED
emmytoaster.near,2023-03-04 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,2,0.6269880627,0.6269880627,0-100 STAKED,YES,ONLY STAKED
e1c8ff85b8df3d65a1ad3ebc5c554ffe81cba5767850b9e6807e0e00819977bc,2023-02-18 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
alice.bo.near,2023-01-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
firstindra.near,2023-03-06 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
thiccy.near,2023-03-13 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
vail.near,2022-11-11 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
boiler4444.near,2023-03-12 00:00:00.000,188,+50 SWAPS,YES,0,,0.0,NO STAKE,NEVER STAKED,ONLY SWAPPED
421cca1d531b968d38f2da74c5cb471f27bb462aa9b2cca147281ee5b1c37996,2023-03-08 00:00:00.000,0,NO SWAPS,NEVER SWAPPED,0,,0.0,NO STAKE,NEVER STAKED,NO DEFI ACTIVITY
983dcdc8e0d80d1f8938118161e1ec08be6557809afccd5ec396354f28a2ce78,2022-03-04 00:00:00.000,42,11-50 SWAPS,YES,29,1766.600837408,1766.600837408,+100 STAKED,YES,DEFI MASTER
